Run,Detector,Yield,Yield err,Fit Status
run0159,det_h0-0,0.0359185,0.000333572,0
run0159,det_h0-1,0.0282098,0.000313603,0
run0159,det_h0-2,0.0116106,0.000245409,0
run0159,det_h0-3,0.0305229,0.000335069,0
run0159,det_h0-4,0.0348539,0.000359374,0
run0159,det_h0-5,0.0368909,0.000393857,0
run0159,det_h0-6,0.0368103,0.000351322,0
run0159,det_h0-7,0.0320962,0.000354711,0
run0159,det_h1-0,0.0343796,0.000340536,0
run0159,det_h1-1,0.034197,0.000339408,0
run0159,det_h1-2,0.013225,0.000331846,0
run0159,det_h1-3,0.0270882,0.000474379,0
run0159,det_h1-4,0.037672,0.000359611,0
run0160,det_h0-0,0.033766,0.000261258,0
run0160,det_h0-1,0.0281039,0.000250492,0
run0160,det_h0-2,0.0125989,0.000207187,0
run0160,det_h0-3,0.0296987,0.000280709,0
run0160,det_h0-4,0.0330038,0.000292035,0
run0160,det_h0-5,0.0347236,0.00032852,0
run0160,det_h0-6,0.0348076,0.000282305,0
run0160,det_h0-7,0.0307861,0.000299223,0
run0160,det_h1-0,0.0315609,0.000272751,0
run0160,det_h1-1,0.0324733,0.000275454,1
run0160,det_h1-2,0.0143466,0.000295399,0
run0160,det_h1-3,0.0276035,0.000387846,0
run0160,det_h1-4,0.0360959,0.000293427,0
run0161,det_h0-0,0.034312,0.000244453,0
run0161,det_h0-1,0.0276949,0.000240026,0
run0161,det_h0-2,0.0127517,0.000201937,0
run0161,det_h0-3,0.0296122,0.000261132,0
run0161,det_h0-4,0.032496,0.000274507,0
run0161,det_h0-5,0.033948,0.000303305,0
run0161,det_h0-6,0.033098,0.000258135,0
run0161,det_h0-7,0.0306336,0.000279795,0
run0161,det_h1-0,0.0317275,0.000259843,0
run0161,det_h1-1,0.0326095,0.000260641,1
run0161,det_h1-2,0.0137319,0.000266397,0
run0161,det_h1-3,0.0281027,0.000388501,0
run0161,det_h1-4,0.0368204,0.000278014,0
