Det,Angle,p1,p2,a1
det_h0-0,120,776.6406676922657,930.3236996858695,1245.6594901547116
det_h0-1,105,835.7157601154092,1004.2503467905726,1351.7313633966246
det_h0-2,90,849.0294948658153,1017.619157766957,1363.7649876933897
det_h0-3,45,836.263423708537,1003.2495339454347,1345.3039996483826
det_h0-4,30,812.3547636046609,975.7328803470093,1313.4770323488044
det_h0-5,15,854.8432116949552,1026.1519711828855,1377.7940400843884
det_h0-6,0,843.6064529459254,1011.964461902649,1358.2753208509143
det_h0-7,-15,846.9191925617363,1017.4215025832191,1368.2036207805909
det_h1-0,-30,836.0688115471751,1003.9798685852011,1349.2128050281294
det_h1-1,-45,844.022181409814,1014.263797294999,1364.7300079113925
det_h1-2,-90,851.0261422324564,1023.1056350887754,1377.9178023909988
det_h1-3,-105,830.977194575142,998.9823818902948,1346.535728727145
det_h1-4,-120,835.934076286576,1004.2570367358587,1350.964729254571
